Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.2.55-35.186.224.35-9178-443-6,192.168.2.55,9178,35.186.224.35,443,6,2026-02-02 19:44:22,216181,2,2,123,120,83,40,61.5,21.5,80,40,60.0,20.0,1124.06,18.5,0.127222,0.088959,0.216181,0.038264,0.216181,0.216181,0,0.216181,0.216181,0.038264,0.038264,0,0.038264,0.038264,1,1,0,0,80,80,9.25,9.25,40,83,60.75,20.78,431.69,0,0,0,2,4,0,0,0,1.0,60.75,61.5,60.0,80,0,0,0,0,0,0,2,123,2,120,510,1044,2,40,0.07206,0.041108,0.129924,0.038264,0,0,0,0
142.250.198.138-192.168.2.55-443-12280-6,192.168.2.55,12280,142.250.198.138,443,6,2026-02-02 19:44:22,15145810,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,12.28,0.26,15.100483,0.000927,15.101411,15.099556,15.099556,15.099556,0,15.099556,15.099556,15.101411,15.101411,0,15.101411,15.101411,0,0,0,0,80,104,0.13,0.13,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,509,1048,2,41,0.045327,0.000927,0.046255,0.0444,15.055156,0,15.055156,15.055156
142.250.198.42-192.168.2.55-443-12279-6,192.168.2.55,12279,142.250.198.42,443,6,2026-02-02 19:44:22,15146214,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,12.28,0.26,15.099877,0.000749,15.100626,15.099128,15.099128,15.099128,0,15.099128,15.099128,15.100626,15.100626,0,15.100626,15.100626,0,0,0,0,80,104,0.13,0.13,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,511,1047,2,41,0.046337,0.000749,0.047086,0.045588,15.05354,0,15.05354,15.05354
192.168.2.55-34.54.84.110-12322-443-6,192.168.2.55,12322,34.54.84.110,443,6,2026-02-02 19:44:23,5397778,26,51,4953,31574,1174,40,190.5,271.61,1438,40,619.1,662.42,6767.04,14.27,0.143257,0.530447,3.241888,0.0,5.397778,0.215911,0.64237,3.241888,4.9e-05,5.346508,0.10693,0.460198,3.199604,0.0,19,23,0,0,1040,2040,4.82,9.45,40,1438,474.38,597.19,356630.0,2,0,0,42,77,0,0,0,1.9615,474.38,190.5,619.1,1040,0,0,0,0,0,0,26,4953,51,31574,511,1043,26,40,0.046654,0.119175,0.778271,3.1e-05,3.158369,0,3.158369,3.158369
162.159.138.234-192.168.2.55-443-11914-6,192.168.2.55,11914,162.159.138.234,443,6,2026-02-02 19:44:23,14051716,4,4,304,272,112,40,76.0,36.0,96,40,68.0,28.0,40.99,0.57,4.642474,6.370492,13.697259,0.044214,14.051716,4.683905,6.308113,13.604532,0.151187,13.803129,4.601043,6.432,13.697259,0.044214,2,2,0,0,160,160,0.28,0.28,40,112,72.0,32.5,1056.0,0,0,0,4,8,0,0,0,1.0,72.0,76.0,68.0,160,0,0,0,0,0,0,4,304,4,272,509,16,4,40,0.074531,0.05903,0.205788,0.042799,13.604532,0,13.604532,13.604532
192.168.2.55-49.213.95.30-9858-443-6,192.168.2.55,9858,49.213.95.30,443,6,2026-02-02 19:44:24,12158226,4,3,287,217,104,40,71.75,31.75,100,40,72.33,24.72,41.45,0.58,4.816306,5.744041,11.923306,0.0,12.158226,4.052742,5.462438,11.777656,0.149938,11.923306,5.961653,5.961653,11.923306,0.0,2,2,0,0,160,120,0.33,0.25,40,104,72.0,28.95,838.0,0,0,0,4,7,0,0,0,0.75,72.0,71.75,72.33,160,0,0,0,0,0,0,4,287,3,217,509,130,4,40,0.095142,0.091013,0.223531,0.007101,11.777656,0,11.777656,11.777656
172.64.146.73-192.168.2.55-443-12145-6,172.64.146.73,443,192.168.2.55,12145,6,2026-02-02 19:44:24,142,2,1,104,40,64,40,52.0,12.0,40,40,40.0,0,1013388.89,21112.27,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,80,40,14074.85,7037.42,40,64,48.0,11.31,128.0,1,0,0,1,3,0,0,0,0.5,48.0,52.0,40.0,80,0,0,0,0,0,0,2,104,1,40,16,509,2,40,0.000142,0,0.000142,0.000142,0,0,0,0
142.250.198.42-192.168.2.55-443-12278-6,192.168.2.55,12278,142.250.198.42,443,6,2026-02-02 19:44:26,15145323,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,12.28,0.26,15.099505,0.000325,15.09983,15.09918,15.09918,15.09918,0,15.09918,15.09918,15.09983,15.09983,0,15.09983,15.09983,0,0,0,0,80,104,0.13,0.13,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,513,14400,2,41,0.045818,0.000325,0.046143,0.045493,15.053687,0,15.053687,15.053687
192.168.2.55-192.168.3.255-57621-57621-17,192.168.2.55,57621,192.168.3.255,57621,17,2026-02-02 19:44:27,1,1,0,72,0,72,72,72.0,0,0,0,0,0,72000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,72,72,72.0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,72.0,0,28,0,0,0,0,0,0,1,72,0,0,-1,-1,1,72,0,0,0,0,0,0,0,0
104.16.55.40-192.168.2.55-443-12148-6,104.16.55.40,443,192.168.2.55,12148,6,2026-02-02 19:44:29,126,2,1,104,40,64,40,52.0,12.0,40,40,40.0,0,1141738.71,23786.22,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,80,40,15857.48,7928.74,40,64,48.0,11.31,128.0,1,0,0,1,3,0,0,0,0.5,48.0,52.0,40.0,80,0,0,0,0,0,0,2,104,1,40,16,513,2,40,0.000126,0,0.000126,0.000126,0,0,0,0
192.168.2.55-224.0.0.251-5353-5353-17,192.168.2.55,5353,224.0.0.251,5353,17,2026-02-02 19:44:29,1,1,0,73,0,73,73,73.0,0,0,0,0,0,73000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,73,73,73.0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,73.0,0,28,0,0,0,0,0,0,1,73,0,0,-1,-1,1,73,0,0,0,0,0,0,0,0
192.168.2.55-35.186.224.35-9171-443-6,192.168.2.55,9171,35.186.224.35,443,6,2026-02-02 19:44:30,41718,1,1,75,40,75,75,75.0,0,40,40,40.0,0,2756.6,47.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,40,23.97,23.97,40,75,57.5,17.5,306.25,0,0,0,1,2,0,0,0,1.0,57.5,75.0,40.0,40,0,0,0,0,0,0,1,75,1,40,513,1050,1,40,0.041718,0,0.041718,0.041718,0,0,0,0
192.168.2.55-34.54.84.110-12331-443-6,192.168.2.55,12331,34.54.84.110,443,6,2026-02-02 19:44:30,497225,15,16,2750,5766,1438,40,183.33,346.18,1438,40,360.38,528.44,17127.02,62.35,0.032552,0.048292,0.185942,0.0,0.497226,0.035516,0.055155,0.185942,0.0,0.446788,0.029786,0.040665,0.139459,0.0,7,6,0,0,624,652,30.17,32.18,40,1438,274.71,458.19,209941.17,2,2,0,13,30,0,0,0,1.0667,274.71,183.33,360.38,624,0,0,0,0,0,0,15,2750,16,5766,64240,65535,15,40,0.023677,0.035689,0.139459,9.5e-05,0,0,0,0
192.168.2.55-239.255.255.250-58010-1900-17,192.168.2.55,58010,239.255.255.250,1900,17,2026-02-02 19:44:30,1,1,0,153,0,153,153,153.0,0,0,0,0,0,153000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,153,153,153.0,0,0,0,0,0,0,0,0,0,0,0.0,153.0,153.0,0,28,0,0,0,0,0,0,1,153,0,0,-1,-1,1,153,0,0,0,0,0,0,0,0
192.168.2.55-199.232.214.250-11923-443-6,192.168.2.55,11923,199.232.214.250,443,6,2026-02-02 19:44:31,40113,1,1,41,52,41,41,41.0,0,52,52,52.0,0,2318.4,49.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,24.93,24.93,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,510,299,1,41,0.040114,0,0.040114,0.040114,0,0,0,0
104.199.241.202-192.168.2.55-4070-9170-6,192.168.2.55,9170,104.199.241.202,4070,6,2026-02-02 19:44:31,226371,3,2,143,102,52,40,47.67,5.44,51,51,51.0,0.0,1082.29,22.09,0.124425,0.081678,0.211308,0.015063,0.226371,0.113186,0.098122,0.211308,0.015063,0.146903,0.146903,0,0.146903,0.146903,1,2,0,0,132,80,13.25,8.84,40,52,49.0,4.52,20.4,0,0,0,3,5,0,0,0,0.6667,49.0,47.67,51.0,132,0,0,0,0,0,0,3,143,2,102,512,11,3,40,0.056593,0.052718,0.131891,5.1e-05,0,0,0,0
192.168.2.55-35.186.224.24-12253-443-6,192.168.2.55,12253,35.186.224.24,443,6,2026-02-02 19:44:33,46721,1,1,41,52,41,41,41.0,0,52,52,52.0,0,1990.5,42.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,21.4,21.4,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,510,1047,1,41,0.046722,0,0.046722,0.046722,0,0,0,0
162.159.61.3-192.168.2.55-443-12285-6,192.168.2.55,12285,162.159.61.3,443,6,2026-02-02 19:44:35,44192,1,1,41,52,41,41,41.0,0,52,52,52.0,0,2104.45,45.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,22.63,22.63,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,510,16,1,41,0.044192,0,0.044192,0.044192,0,0,0,0
192.168.2.55-35.186.224.39-10289-443-6,192.168.2.55,10289,35.186.224.39,443,6,2026-02-02 19:44:36,289644,2,2,123,120,83,40,61.5,21.5,80,40,60.0,20.0,838.96,13.81,0.168493,0.121152,0.289645,0.047342,0.289645,0.289645,0,0.289645,0.289645,0.047342,0.047342,0,0.047342,0.047342,1,1,0,0,80,80,6.91,6.91,40,83,60.75,20.78,431.69,0,0,0,2,4,0,0,0,1.0,60.75,61.5,60.0,80,0,0,0,0,0,0,2,123,2,120,512,1044,2,40,0.096548,0.073477,0.200413,0.04189,0,0,0,0
192.168.2.55-35.186.224.39-10290-443-6,192.168.2.55,10290,35.186.224.39,443,6,2026-02-02 19:44:36,292617,2,2,123,120,83,40,61.5,21.5,80,40,60.0,20.0,830.44,13.67,0.165457,0.12716,0.292617,0.038297,0.292617,0.292617,0,0.292617,0.292617,0.038297,0.038297,0,0.038297,0.038297,1,1,0,0,80,80,6.83,6.83,40,83,60.75,20.78,431.69,0,0,0,2,4,0,0,0,1.0,60.75,61.5,60.0,80,0,0,0,0,0,0,2,123,2,120,512,1043,2,40,0.097539,0.08005,0.210705,0.038297,0,0,0,0
104.17.173.5-192.168.2.55-443-12312-6,192.168.2.55,12312,104.17.173.5,443,6,2026-02-02 19:44:42,48223,1,1,41,52,41,41,41.0,0,52,52,52.0,0,1928.54,41.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,20.74,20.74,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,513,16,1,41,0.048223,0,0.048223,0.048223,0,0,0,0
192.168.2.55-8.8.4.4-62352-443-17,192.168.2.55,62352,8.8.4.4,443,17,2026-02-02 19:44:42,193920,12,14,4844,5743,1278,59,403.67,510.11,1278,51,410.21,450.35,54594.64,134.08,0.014395,0.025486,0.086268,0.0,0.19392,0.017629,0.023565,0.06255,0.000175,0.151564,0.011659,0.0267,0.086268,0.0,0,0,0,0,336,392,61.88,72.19,51,1278,407.19,478.87,229315.31,0,0,0,0,0,0,0,0,1.1667,407.19,403.67,410.21,336,0,0,0,0,0,0,12,4844,14,5743,-1,-1,12,51,0.01212,0.017515,0.04342,0.000175,0,0,0,0
142.250.199.196-192.168.2.55-443-55791-17,192.168.2.55,55791,142.250.199.196,443,17,2026-02-02 19:44:42,216602,7,8,4118,4210,1278,59,588.29,597.49,1278,52,526.25,521.89,38448.38,69.25,0.025199,0.034897,0.09489,0.0,0.216602,0.0361,0.041127,0.09489,0.000132,0.110981,0.015854,0.024955,0.073408,0.0,0,0,0,0,196,224,32.32,36.93,52,1278,555.2,559.3,312820.16,0,0,0,0,0,0,0,0,1.1429,555.2,588.29,526.25,196,0,0,0,0,0,0,7,4118,8,4210,-1,-1,7,52,0.019691,0.023515,0.0707,0.000132,0,0,0,0
151.106.248.5-192.168.2.55-7004-63316-17,151.106.248.5,7004,192.168.2.55,63316,17,2026-02-02 19:44:14,48409138,1305,1307,333202,78858,906,47,255.33,247.12,667,55,60.34,19.87,8512.03,53.96,0.037095,0.046645,0.482682,0.0,48.40817,0.037123,0.043988,0.432962,0.0,48.408926,0.037067,0.049154,0.482682,3e-05,0,0,0,0,36540,36596,26.96,27.0,47,906,157.76,200.53,40212.77,0,0,0,0,0,0,0,0,1.0015,157.76,255.33,60.34,36540,0,0,0,0,0,0,1305,333202,1307,78858,-1,-1,1305,47,0.020263,0.033948,0.432962,2.5e-05,0,0,0,0
192.168.2.55-35.215.189.119-52057-50004-17,35.215.189.119,50004,192.168.2.55,52057,17,2026-02-02 19:44:14,45590927,1893,33,366347,1892,363,36,193.53,75.3,88,36,57.33,18.01,8077.02,42.25,0.044883,0.199755,2.812838,0.0,45.590928,0.024097,0.082457,0.920963,0.0,40.763972,1.273874,0.679083,2.812838,0.000105,0,0,0,0,53004,924,41.52,0.72,36,363,191.19,76.76,5891.4,0,0,0,0,0,0,0,0,0.0174,191.19,193.53,57.33,53004,0,0,0,0,0,0,1893,366347,33,1892,-1,-1,1893,36,0.026157,0.077939,0.918937,3.7e-05,0,0,0,0
192.168.2.55-35.215.138.4-59477-50005-17,35.215.138.4,50005,192.168.2.55,59477,17,2026-02-02 19:44:14,48422951,7229,902,4841902,70856,1268,70,669.79,401.84,120,72,78.55,7.32,101455.15,167.92,0.011912,0.019739,0.330265,0.0,48.422952,0.006699,0.01162,0.320784,0.0,48.408709,0.053728,0.021578,0.330265,6.3e-05,0,0,0,0,202412,25256,149.29,18.63,70,1268,604.2,421.96,178046.08,0,0,0,0,0,0,0,0,0.1248,604.2,669.79,78.55,202412,0,0,0,0,0,0,7229,4841902,902,70856,-1,-1,7229,70,0.01095,0.010848,0.281452,2e-06,0,0,0,0
172.65.217.212-192.168.2.55-5223-11784-6,172.65.217.212,5223,192.168.2.55,11784,6,2026-02-02 19:44:14,45230001,4,3,160,150,40,40,40.0,0.0,70,40,50.0,14.14,6.85,0.15,15.090958,0.125443,15.262247,14.962592,45.229949,15.07665,0.10368,15.223261,15.001579,30.224839,15.112419,0.149827,15.262247,14.962592,0,1,0,0,160,120,0.09,0.07,40,70,44.29,10.5,110.2,0,0,0,1,7,0,0,0,0.75,44.29,40.0,50.0,160,0,0,0,0,0,0,4,160,3,150,16,510,4,40,0.013013,0.018328,0.038933,5.3e-05,15.063654,0.114186,15.223261,14.962592
162.159.133.234-192.168.2.55-443-10973-6,162.159.133.234,443,192.168.2.55,10973,6,2026-02-02 19:44:14,48406496,376,231,126638,11210,1438,40,336.8,245.65,1438,40,48.53,95.64,2847.72,12.54,0.159722,0.172714,1.237149,0.0,48.406496,0.129084,0.158817,1.126521,0.0,48.22542,0.209676,0.182528,1.237149,0.0,372,2,0,0,15040,9276,7.77,4.77,40,1438,227.1,245.87,60449.66,0,0,0,374,607,0,0,0,0.6144,227.1,336.8,48.53,15040,0,0,0,0,0,0,376,126638,231,11210,111,509,376,40,0.083785,0.106904,0.749198,2e-05,1.078492,0.047911,1.126403,1.030581
192.168.2.55-64.233.188.188-9407-5228-6,192.168.2.55,9407,64.233.188.188,5228,6,2026-02-02 19:44:16,45174119,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,4.12,0.09,45.098526,0.000557,45.099083,45.097969,45.099083,45.099083,0,45.099083,45.099083,45.097969,45.097969,0,45.097969,45.097969,0,0,0,0,80,104,0.04,0.04,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,510,1047,2,41,0.075594,0.000557,0.076151,0.075037,45.022932,0,45.022932,45.022932
162.159.130.235-192.168.2.55-443-11899-6,192.168.2.55,11899,162.159.130.235,443,6,2026-02-02 19:44:18,41422030,8,8,612,544,113,40,76.5,36.5,96,40,68.0,28.0,27.91,0.39,5.90826,6.660251,13.708223,0.038022,41.422031,5.917433,6.57484,13.533035,0.169057,41.293603,5.899086,6.744568,13.708223,0.038022,4,4,0,0,320,320,0.19,0.19,40,113,72.25,32.81,1076.19,0,0,0,8,16,0,0,0,1.0,72.25,76.5,68.0,320,0,0,0,0,0,0,8,612,8,544,509,16,8,40,0.074509,0.044625,0.188638,0.038022,13.509306,0.025804,13.533035,13.473432
192.168.2.55-52.74.72.6-12055-2099-6,52.74.72.6,2099,192.168.2.55,12055,6,2026-02-02 19:44:18,40972817,3,3,120,120,40,40,40.0,0.0,40,40,40.0,0.0,5.86,0.15,20.486383,0.001259,20.487646,20.485115,40.972754,20.486377,0.001262,20.487639,20.485115,40.972779,20.48639,0.001257,20.487646,20.485133,0,0,0,0,120,120,0.07,0.07,40,40,40.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,40.0,40.0,40.0,120,0,0,0,0,0,0,3,120,3,120,27,508,3,40,5e-05,1.1e-05,6.4e-05,3.9e-05,20.486335,0.001266,20.4876,20.485069
192.168.2.55-216.239.34.223-11708-443-6,192.168.2.55,11708,216.239.34.223,443,6,2026-02-02 19:44:18,30348693,3,3,123,156,41,41,41.0,0.0,52,52,52.0,0.0,9.19,0.2,15.150364,0.037642,15.198619,15.100202,30.298821,15.14941,0.049208,15.198619,15.100202,30.302636,15.151318,0.020264,15.171582,15.131054,0,0,0,0,120,156,0.1,0.1,41,52,46.5,5.5,30.25,0,0,0,0,6,0,0,0,1.0,46.5,41.0,52.0,120,0,0,0,0,0,0,3,123,3,156,511,15840,3,41,0.057613,0.013733,0.076909,0.046057,15.087927,0.033782,15.12171,15.054145
