Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
151.106.248.5-192.168.2.55-7004-63316-17,151.106.248.5,7004,192.168.2.55,63316,17,2026-02-02 19:44:14,29802938,609,609,114631,37336,834,47,187.01,201.99,667,55,61.31,27.27,5099.06,40.87,0.04892,0.060037,0.482682,0.0,29.802939,0.048938,0.055523,0.432962,0.0,29.732469,0.048902,0.064241,0.482682,3e-05,0,0,0,0,17080,17052,20.43,20.43,47,834,124.16,157.23,24722.57,0,0,0,0,0,0,0,0,1.0,124.16,187.01,61.31,17080,0,0,0,0,0,0,609,114631,609,37336,-1,-1,609,47,0.026143,0.043899,0.432962,3e-05,0,0,0,0
192.168.2.55-35.215.189.119-52057-50004-17,35.215.189.119,50004,192.168.2.55,52057,17,2026-02-02 19:44:14,29822708,1278,23,249481,1328,363,36,195.21,77.04,88,36,57.74,18.0,8410.0,43.62,0.044288,0.196801,2.421912,0.0,29.832868,0.023343,0.079331,0.920963,0.0,27.706762,1.259398,0.647572,2.421912,0.000105,0,0,0,0,35812,644,42.85,0.77,36,363,192.78,78.51,6164.43,0,0,0,0,0,0,0,0,0.018,192.78,195.21,57.74,35812,0,0,0,0,0,0,1278,249481,23,1328,-1,-1,1278,36,0.025304,0.073522,0.918937,3.7e-05,0,0,0,0
192.168.2.55-35.215.138.4-59477-50005-17,35.215.138.4,50005,192.168.2.55,59477,17,2026-02-02 19:44:14,29844650,4468,548,3009456,43116,1268,70,673.37,404.94,116,72,78.68,7.14,102282.05,168.07,0.011898,0.019409,0.320784,0.0,29.844772,0.006678,0.01098,0.320784,0.0,29.824384,0.054524,0.020719,0.227441,7.2e-05,0,0,0,0,125216,15344,149.71,18.36,70,1268,608.4,424.83,180479.77,0,0,0,0,0,0,0,0,0.1226,608.4,673.37,78.68,125216,0,0,0,0,0,0,4468,3009456,548,43116,-1,-1,4468,70,0.011023,0.00993,0.173203,2e-06,0,0,0,0
172.65.217.212-192.168.2.55-5223-11784-6,172.65.217.212,5223,192.168.2.55,11784,6,2026-02-02 19:44:14,15005162,2,1,80,40,40,40,40.0,0.0,40,40,40.0,0,8.0,0.2,15.005109,0,15.005109,15.005109,15.005109,15.005109,0,15.005109,15.005109,0,0,0,0,0,0,0,0,0,80,40,0.13,0.07,40,40,40.0,0.0,0.0,0,0,0,0,3,0,0,0,0.5,40.0,40.0,40.0,80,0,0,0,0,0,0,2,80,1,40,16,510,2,40,5.4e-05,0,5.4e-05,5.4e-05,15.005109,0,15.005109,15.005109
162.159.133.234-192.168.2.55-443-10973-6,162.159.133.234,443,192.168.2.55,10973,6,2026-02-02 19:44:14,29679233,200,125,66653,5167,1264,40,333.26,244.85,183,40,41.34,12.81,2419.87,10.95,0.18335,0.189458,1.237149,0.0,29.679131,0.149141,0.174434,1.126521,0.0,29.542975,0.23825,0.199438,1.237149,0.000187,199,1,0,0,8000,5024,6.74,4.21,40,1264,220.98,239.01,57127.28,0,0,0,200,325,0,0,0,0.625,220.98,333.26,41.34,8000,0,0,0,0,0,0,200,66653,125,5167,111,509,200,40,0.090534,0.108956,0.749198,3.6e-05,1.078492,0.047911,1.126403,1.030581
192.168.2.55-64.233.188.188-9407-5228-6,192.168.2.55,9407,64.233.188.188,5228,6,2026-02-02 19:44:16,76151,1,1,41,52,41,41,41.0,0,52,52,52.0,0,1221.26,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,13.13,13.13,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,510,1047,1,41,0.076151,0,0.076151,0.076151,0,0,0,0
162.159.130.235-192.168.2.55-443-11899-6,192.168.2.55,11899,162.159.130.235,443,6,2026-02-02 19:44:18,14025060,4,4,306,272,113,40,76.5,36.5,96,40,68.0,28.0,41.21,0.57,4.636458,6.326889,13.645032,0.042996,14.025061,4.67502,6.255404,13.521451,0.226879,13.793688,4.597896,6.397342,13.645032,0.042996,2,2,0,0,160,160,0.29,0.29,40,113,72.25,32.81,1076.19,0,0,0,4,8,0,0,0,1.0,72.25,76.5,68.0,160,0,0,0,0,0,0,4,306,4,272,509,16,4,40,0.083935,0.052196,0.188638,0.042735,13.521451,0,13.521451,13.521451
192.168.2.55-52.74.72.6-12055-2099-6,52.74.72.6,2099,192.168.2.55,12055,6,2026-02-02 19:44:18,20487684,2,2,80,80,40,40,40.0,0.0,40,40,40.0,0.0,7.81,0.2,20.487643,4e-06,20.487646,20.487639,20.487639,20.487639,0,20.487639,20.487639,20.487646,20.487646,0,20.487646,20.487646,0,0,0,0,80,80,0.1,0.1,40,40,40.0,0.0,0.0,0,0,0,0,4,0,0,0,1.0,40.0,40.0,40.0,80,0,0,0,0,0,0,2,80,2,80,27,508,2,40,4.2e-05,4e-06,4.6e-05,3.9e-05,20.4876,0,20.4876,20.4876
192.168.2.55-216.239.34.223-11708-443-6,192.168.2.55,11708,216.239.34.223,443,6,2026-02-02 19:44:18,15177111,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,12.26,0.26,15.115628,0.015426,15.131054,15.100202,15.100202,15.100202,0,15.100202,15.100202,15.131054,15.131054,0,15.131054,15.131054,0,0,0,0,80,104,0.13,0.13,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,511,15840,2,41,0.061483,0.015426,0.076909,0.046057,15.054145,0,15.054145,15.054145
192.168.2.55-64.233.189.188-8590-5228-6,192.168.2.55,8590,64.233.189.188,5228,6,2026-02-02 19:44:18,76630,1,1,41,52,41,41,41.0,0,52,52,52.0,0,1213.62,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,13.05,13.05,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,509,1047,1,41,0.07663,0,0.07663,0.07663,0,0,0,0
