Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.2.55-35.215.189.119-62822-50004-17,35.215.189.119,50004,192.168.2.55,62822,17,2026-02-02 20:34:17,29838212,945,24,194189,1448,367,36,205.49100529100528,93.59206865926518,88,36,60.333333333333336,19.490738541391625,6556.5925972092555,32.47513623034379,0.061496365033359784,0.30042982552045366,4.86852502822876,0.0,29.83821201324463,0.03160827543775914,0.10896817903449126,0.8999319076538086,0.0,29.628772974014282,1.2882075206093166,1.3288816446339202,4.86852502822876,0.011717081069946289,0,0,0,0,26460,672,31.67079849089255,0.8043377394512394,36,367,201.89576883384933,95.18866428689196,9060.881808722621,0,0,0,0,0,0,0,0,0.025396825396825397,201.89576883384933,205.49100529100528,60.333333333333336,26460,0,0,0,0,0,0,945,194189,24,1448,-1,-1,945,36,0.03348845343798499,0.1055392445097286,0.8999319076538086,3.504753112792969e-05,0,0,0,0
162.159.136.234-192.168.2.55-443-12797-6,162.159.136.234,443,192.168.2.55,12797,6,2026-02-02 20:34:17,29843628,129,100,34402,4309,1228,40,266.6821705426357,205.38883466011652,202,40,43.09,21.655989933503385,1297.1277772986198,7.673329570442094,0.26221347170254206,0.2906316916097396,1.682499885559082,0.0,29.843628883361816,0.2331533506512642,0.28432552848835435,1.682499885559082,0.0,29.678829193115234,0.29978615346581045,0.29436554912199375,1.678717851638794,0.004697084426879883,127,2,0,0,5160,4000,4.322530631384411,3.350798939057683,40,1228,169.04366812227073,190.43656536847024,36266.08542933964,0,0,0,129,229,0,0,0,0.7751937984496124,169.04366812227073,266.6821705426357,43.09,5160,0,0,0,0,0,0,129,34402,100,4309,16,8681,129,40,0.1206194369445944,0.1704753722741624,0.8474071025848389,3.314018249511719e-05,1.383896271387736,0.19800129977403896,1.6335928440093994,1.1492960453033447
192.168.2.55-64.233.189.188-8590-5228-6,192.168.2.55,8590,64.233.189.188,5228,6,2026-02-02 20:34:17,74945,1,1,41,52,41,41,41.0,0,52,52,52.0,0,1240.9065002242774,26.686161295145748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,13.343080647572874,13.343080647572874,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,509,1047,1,41,0.07494521141052246,0,0.07494521141052246,0.07494521141052246,0,0,0,0
172.253.144.95-192.168.2.55-443-13019-6,192.168.2.55,13019,172.253.144.95,443,6,2026-02-02 20:34:18,42587,1,1,41,52,41,41,41.0,0,52,52,52.0,0,2183.7628524882016,46.96264198899358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,23.48132099449679,23.48132099449679,41,52,46.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,46.5,41.0,52.0,40,0,0,0,0,0,0,1,41,1,52,8235,1043,1,41,0.0425870418548584,0,0.0425870418548584,0.0425870418548584,0,0,0,0
162.159.138.232-192.168.2.55-443-54546-17,192.168.2.55,54546,162.159.138.232,443,17,2026-02-02 20:34:20,21982874,29,28,15999,9328,1278,73,551.6896551724138,517.2191627412674,1228,50,333.14285714285717,422.63364025779,1152.1241033954911,2.5929274645059817,0.7981687068939209,1.7114278505807217,7.211603164672852,0.0,21.982874870300293,0.7851026739392962,1.6873164640800167,7.149301052093506,0.00011587142944335938,21.916404008865356,0.8117186669950132,1.7359747138748094,7.211603164672852,0.0,0,0,0,0,812,784,1.3192087100118153,1.2737187544941664,50,1278,444.3333333333333,485.57617550928325,235784.22222222225,0,0,0,0,0,0,0,0,0.9655172413793104,444.3333333333333,551.6896551724138,333.14285714285717,812,0,0,0,0,0,0,29,15999,28,9328,-1,-1,29,50,0.05203301565987723,0.07445745220216375,0.2565031051635742,0.00011587142944335938,3.8866514205932616,2.040824448187519,7.149301052093506,1.0048980712890625
162.159.128.235-192.168.2.55-443-12826-6,192.168.2.55,12826,162.159.128.235,443,6,2026-02-02 20:34:20,13911407,4,4,306,272,113,40,76.5,36.5,96,40,68.0,28.0,41.54863419861092,0.575067601364857,4.621899684270223,6.360387079269729,13.658600091934204,0.07914495468139648,13.911407947540283,4.637135982513428,6.319794509397494,13.5746750831604,0.16808390617370605,13.819990158081055,4.6066633860270185,6.400685952747845,13.658600091934204,0.07914495468139648,2,2,0,0,160,160,0.2875338006824285,0.2875338006824285,40,113,72.25,32.80529682840867,1076.1875,0,0,0,4,8,0,0,0,1.0,72.25,76.5,68.0,160,0,0,0,0,0,0,4,306,4,272,510,18,4,40,0.056122144063313804,0.01781806738521353,0.0822451114654541,0.03832507133483887,13.5746750831604,0,13.5746750831604,13.5746750831604
142.250.197.234-192.168.2.55-443-13012-6,192.168.2.55,13012,142.250.197.234,443,6,2026-02-02 20:34:22,15111625,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,12.30840421210483,0.26469686477644794,15.063238501548767,0.00031745433807373047,15.06355595588684,15.062921047210693,15.062921047210693,15.062921047210693,0,15.062921047210693,15.062921047210693,15.06355595588684,15.06355595588684,0,15.06355595588684,15.06355595588684,0,0,0,0,80,104,0.13234843238822397,0.13234843238822397,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,509,1047,2,41,0.04838740825653076,0.00031745433807373047,0.04870486259460449,0.04806995391845703,15.014851093292236,0,15.014851093292236,15.014851093292236
142.250.197.74-192.168.2.55-443-13011-6,192.168.2.55,13011,142.250.197.74,443,6,2026-02-02 20:34:23,15083489,2,2,82,104,41,41,41.0,0.0,52,52,52.0,0.0,12.331364300736308,0.26519063012336147,15.04281461238861,0.0009495019912719727,15.043764114379883,15.041865110397339,15.041865110397339,15.041865110397339,0,15.041865110397339,15.041865110397339,15.043764114379883,15.043764114379883,0,15.043764114379883,15.043764114379883,0,0,0,0,80,104,0.13259531506168074,0.13259531506168074,41,52,46.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,46.5,41.0,52.0,80,0,0,0,0,0,0,2,82,2,104,511,1047,2,41,0.040674567222595215,0.0009495019912719727,0.04162406921386719,0.03972506523132324,15.002140045166016,0,15.002140045166016,15.002140045166016
192.168.2.55-34.54.84.110-13023-443-6,192.168.2.55,13023,34.54.84.110,443,6,2026-02-02 20:34:23,19670692,28,47,3811,31852,716,40,136.10714285714286,185.3722778021326,1438,40,677.7021276595744,666.9974613143054,1813.0017149776354,3.8127787517405336,0.5381826146008217,2.850933646470823,17.501588821411133,0.0,19.670692920684814,0.7285441822475858,3.293438548579637,17.496052026748657,3.600120544433594e-05,19.61663794517517,0.4264486509820689,2.549153495137106,17.501588821411133,0.0,16,22,0,0,1120,1880,1.4234374006497992,2.3893413510907346,40,1438,475.50666666666666,600.2073280310915,360248.8366222222,2,0,0,38,75,0,0,0,1.6785714285714286,475.50666666666666,136.10714285714286,677.7021276595744,1120,0,0,0,0,0,0,28,3811,47,31852,510,1044,28,40,0.04267826905617347,0.12460199914476856,0.8385629653930664,1.8835067749023438e-05,17.451422929763794,0,17.451422929763794,17.451422929763794
192.168.2.55-49.213.95.30-9858-443-6,49.213.95.30,443,192.168.2.55,9858,6,2026-02-02 20:34:23,2314886,5,4,2497,223,1438,40,499.4,561.7499799732974,103,40,55.75,27.279800219209818,1175.0038190047187,3.887880283471496,0.6551143101283482,0.5934258389365085,1.4414470195770264,0.0,2.3148272037506104,0.5787068009376526,0.6125675902601705,1.4414470195770264,0.0,2.270972967147827,0.7569909890492758,0.5506463991550008,1.396075963973999,0.05209803581237793,3,1,0,0,200,160,2.159933490817498,1.7279467926539982,40,1438,302.22222222222223,473.5423899311744,224242.3950617284,0,0,0,4,9,0,0,0,0.8,302.22222222222223,499.4,55.75,200,0,0,0,0,0,0,5,2497,4,223,144,513,5,40,0.1837738037109375,0.3200533691366618,0.8227989673614502,5.888938903808594e-05,1.396017074584961,0,1.396017074584961,1.396017074584961
