Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Info,Payload Content,Class
10.10.146.69-224.0.0.251-5353-5353-17,10.10.146.69,5353,224.0.0.251,5353,17,2026-03-13 19:52:10,114181,3,0,339,0,139,81,113.0,24.055491403558285,0,0,0,0,2968.969234302896,26.274064020379612,0.05709052085876465,0.05526542663574219,0.11235594749450684,0.001825094223022461,0.1141810417175293,0.05709052085876465,0.05526542663574219,0.11235594749450684,0.001825094223022461,0,0,0,0,0,0,0,0,0,84,0,26.274064020379612,0.0,81,139,113.0,24.055491403558285,578.6666666666666,0,0,0,0,0,0,0,0,0.0,113.0,113.0,0,84,0,0,0,0,0,0,3,339,0,0,-1,-1,3,81,0,0,0,0,0,0,0,0,MDNS Standard query 0x0 255 LAPTOP-26BHDAC6.local.,UDP: 00 00 00 00 00 01 00 00 00 00 00 00 0f 4c 41 50 54 4f 50 2d 32 36 42 48 44 41 43 36 05 6c 6f 63 .............LAPTOP-26BHDAC6.loc,Benign
10.10.146.69-224.0.0.252-55117-5355-17,10.10.146.69,55117,224.0.0.252,5355,17,2026-03-13 19:52:10,1,1,0,75,0,75,75,75.0,0,0,0,0,0,75000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,75,75,75.0,0,0,0,0,0,0,0,0,0,0,0.0,75.0,75.0,0,28,0,0,0,0,0,0,1,75,0,0,-1,-1,1,75,0,0,0,0,0,0,0,0,UDP 55117 -> 5355 Len=41,UDP: d0 75 00 00 00 01 00 00 00 00 00 00 0f 4c 41 50 54 4f 50 2d 32 36 42 48 44 41 43 36 00 00 ff 00 .u...........LAPTOP-26BHDAC6....,Benign
10.10.10.76-224.0.0.251-5353-5353-17,10.10.10.76,5353,224.0.0.251,5353,17,2026-03-13 19:52:10,27052773,4,0,1130,0,435,119,282.5,152.69823181687468,0,0,0,0,41.77020818584992,0.14785914402070766,9.01759131749471,4.090371983303105,12.386359930038452,3.2607061862945557,27.05277395248413,9.01759131749471,4.090371983303105,12.386359930038452,3.2607061862945557,0,0,0,0,0,0,0,0,0,112,0,0.14785914402070766,0.0,119,435,282.5,152.69823181687468,23316.75,0,0,0,0,0,0,0,0,0.0,282.5,282.5,0,112,0,0,0,0,0,0,4,1130,0,0,-1,-1,4,119,0.00012445449829101562,0,0.00012445449829101562,0.00012445449829101562,9.018042802810669,4.090257560956412,12.386235475540161,3.261260747909546,MDNS Standard query 0x0 SRV macbook air của châu (3)._appsvcprepair._tcp.local.,UDP: 00 00 00 00 00 03 00 00 00 00 00 00 1b 6d 61 63 62 6f 6f 6b 20 61 69 72 20 63 e1 bb a7 61 20 63 .............macbook air c...a c,Benign
10.10.9.161-162.159.136.234-6331-443-6,162.159.136.234,443,10.10.9.161,6331,6,2026-03-13 19:52:10,29614591,109,87,39427,6337,1253,60,361.7155963302752,274.7756079255998,1454,54,72.83908045977012,150.0458070718542,1545.319288950402,6.618358985977598,0.3033195561969403,0.33636103735390205,1.8147549629211426,0.0,29.61459183692932,0.2742091836752715,0.33069160488235744,1.8147549629211426,0.0,29.2294020652771,0.3398767682008965,0.3398343321312257,1.8127350807189941,0.0,108,108,0,0,4360,3480,3.68061800750795,2.937740978469648,54,1454,233.48979591836735,269.40873449538964,72581.06622240733,0,0,0,108,196,0,0,0,0.7981651376146789,233.48979591836735,361.7155963302752,72.83908045977012,4360,0,0,0,0,0,0,109,39427,87,6337,23,5880,109,54,0.0005945247762343463,0.0011566406660775378,0.00627446174621582,1.1920928955078125e-06,1.4036253094673157,0.22809377505864545,1.7645533084869385,1.132408857345581,"TLSv1.x Application Data, 443 -> 6331 [ACK, PSH] Seq=321457020 Ack=3882843383 Win=23 Len=103",TCP: 17 03 03 00 62 19 2d 6e 41 4b b1 55 02 83 f1 7a 54 51 c3 d5 00 50 1a 20 ce 50 c6 9f 02 e8 4e 87 ....b.-nAK.U...zTQ...P. .P....N.,Benign
10.10.9.161-140.82.113.21-7855-443-6,10.10.9.161,7855,140.82.113.21,443,6,2026-03-13 19:52:10,3953174,15,14,10229,7601,1490,54,681.9333333333333,672.7347636492574,1490,60,542.9285714285714,590.8019325200179,4510.299694574705,7.335877237390155,0.2739577470002351,0.4625398500254356,2.05009388923645,0.0,3.698460102081299,0.2641757215772356,0.3850997456090692,1.3676671981811523,0.0,3.698399066925049,0.28449223591731143,0.5333101520093163,2.05009388923645,0.0,11,11,0,0,612,584,3.7944192607190455,3.541457976671109,54,1490,614.8275862068965,638.2940122980575,407419.2461355528,2,0,1,11,28,0,0,0,0.9333333333333333,614.8275862068965,681.9333333333333,542.9285714285714,612,0,0,0,0,0,0,15,10229,14,7601,516,66,15,54,0.0008288860321044922,0.000663062131002757,0.001592397689819336,4.482269287109375e-05,1.370865821838379,0,1.370865821838379,1.370865821838379,"TLSv1.x Handshake, 7855 -> 443 [ACK, PSH] Seq=3779806377 Ack=3289360461 Win=516 Len=517",TCP: 16 03 01 02 00 01 00 01 fc 03 03 82 b5 eb 78 a5 dc db 0a 33 eb dd 96 fe c0 ae 08 70 39 dd 89 c7 ..............x....3.......p9...,Benign
10.10.9.161-10.10.9.251-3450-8009-6,10.10.9.161,3450,10.10.9.251,8009,6,2026-03-13 19:52:10,25190392,12,6,1308,984,164,54,109.0,55.0,164,164,164.0,0.0,90.98707151599923,0.7145581532670097,3.1426148116588593,2.3868731904200664,5.024839878082275,0.049468994140625,25.190392017364502,2.2900356379422275,2.44145772388135,4.97669792175293,0.049468994140625,25.091444969177246,5.01828899383545,0.005867391419759944,5.024839878082275,5.008775949478149,12,12,0,0,480,240,0.4763721021780064,0.2381860510890032,54,164,127.33333333333333,51.85449728701349,2688.888888888889,0,0,0,12,18,0,0,0,0.5,127.33333333333333,109.0,164.0,480,0,0,0,0,0,0,12,1308,6,984,511,1825,12,54,0.0006924205356174045,0.0008253378483633011,0.0023322105407714844,1.8358230590820312e-05,4.966208124160767,0.006974356313982954,4.97651219367981,4.958287000656128,"3450 -> 8009 [ACK, PSH] Seq=2096682347 Ack=119713800 Win=511 Len=110",TCP: 17 03 03 00 69 f4 f8 fc 19 e7 fe 40 a7 ac 25 29 c4 ae 77 c5 ab 6e d4 0e e2 28 de 2b 36 80 32 2d ....i......@..%)..w..n...(.+6.2-,Benign
10.10.10.17-224.0.0.251-5353-5353-17,10.10.10.17,5353,224.0.0.251,5353,17,2026-03-13 19:52:11,1,1,0,408,0,408,408,408.0,0,0,0,0,0,408000000.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1000000.0,0.0,408,408,408.0,0,0,0,0,0,0,0,0,0,0,0.0,408.0,408.0,0,28,0,0,0,0,0,0,1,408,0,0,-1,-1,1,408,0,0,0,0,0,0,0,0,MDNS Standard query 0x0 PTR _companion-link._tcp.local.,UDP: 00 00 00 00 00 02 00 0a 00 00 00 00 0f 5f 63 6f 6d 70 61 6e 69 6f 6e 2d 6c 69 6e 6b 04 5f 74 63 ............._companion-link._tc,Benign
10.10.9.161-10.10.9.251-3476-8009-6,10.10.9.161,3476,10.10.9.251,8009,6,2026-03-13 19:52:11,25121104,12,6,1308,984,164,54,109.0,55.0,164,164,164.0,0.0,91.23802492144705,0.7165289915296889,3.1371151208877563,2.3870512915130977,5.024383783340454,0.04975295066833496,25.121104955673218,2.283736814152111,2.4408165729169222,4.974300146102905,0.04975295066833496,25.072736978530884,5.014547395706177,0.006653014628462041,5.024383783340454,5.005019187927246,12,12,0,0,480,240,0.4776859943531259,0.23884299717656296,54,164,127.33333333333333,51.85449728701349,2688.888888888889,0,0,0,12,18,0,0,0,0.5,127.33333333333333,109.0,164.0,480,0,0,0,0,0,0,12,1308,6,984,509,1643,12,54,0.00025340488978794644,0.00038682189659134395,0.0011601448059082031,1.0967254638671875e-05,4.959983015060425,0.012411510271848907,4.982899904251099,4.948499441146851,"3476 -> 8009 [ACK, PSH] Seq=1053534382 Ack=676595332 Win=509 Len=110","TCP: 17 03 03 00 69 aa 0f 56 70 2f a4 2c a8 5c da 6d 4e 57 31 4a ad ca d1 25 ea ab a9 27 a7 d5 2e 9e ....i..Vp/.,.\.mNW1J...%...'....",Benign
10.10.9.161-43.174.229.238-7286-443-6,10.10.9.161,7286,43.174.229.238,443,6,2026-03-13 19:52:11,20172242,9,12,882,1713,151,54,98.0,40.10818702792071,324,60,142.75,107.70726143889587,128.64211557703783,1.041034461317069,2.119243308117515,4.027903034950375,9.936002016067505,0.0,20.13591194152832,2.51698899269104,4.28027170459716,9.935590982437134,0.0010540485382080078,20.129710912704468,1.8299737193367698,3.8079365507173857,9.936002016067505,0.0,12,12,0,0,360,480,0.4461576262787439,0.5948768350383251,54,324,123.57142857142857,88.3680460609255,7808.911564625851,0,0,0,12,21,0,0,0,1.3333333333333333,123.57142857142857,98.0,142.75,360,0,0,0,0,0,0,9,882,12,1713,4125,511,9,54,0.0012605985005696614,0.0011543211877385003,0.0035636425018310547,0.0001430511474609375,9.873136281967163,0.028435707092285156,9.901571989059448,9.844700574874878,"TLSv1.x Application Data, 7286 -> 443 [ACK, PSH] Seq=663985712 Ack=3448022519 Win=4125 Len=97",TCP: 17 03 03 00 5c 2e a9 b2 0a 76 01 f2 93 4b 7c b6 17 34 61 f1 99 09 59 fa ac c7 1f e6 d2 0b cd ac ....\....v...K|..4a...Y.........,Benign
10.10.9.161-104.18.43.182-7562-443-6,10.10.9.161,7562,104.18.43.182,443,6,2026-03-13 19:52:11,31518,1,1,55,66,55,55,55.0,0,66,66,66.0,0,3838.9620574886535,63.45391830559758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,31.72695915279879,31.72695915279879,55,66,60.5,5.5,30.25,0,0,0,0,2,0,0,0,1.0,60.5,55.0,66.0,40,0,0,0,0,0,0,1,55,1,66,509,16,1,55,0,0,0,0,0,0,0,0,TLS 7562 -> 443 [ACK] Seq=2160920688 Ack=1426947222 Win=509 Len=1,TCP: 00 .,Benign
